VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,09/20/2018 08:07:35 AM,09/20/2018 09:02:21 AM,1,16.64,2,N,237,132,2,52.0,0.0,0.5,0.0,6.8,0.3,59.6
2,09/20/2018 08:02:29 AM,09/20/2018 08:11:52 AM,1,1.63,1,N,74,74,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
2,09/20/2018 08:33:27 AM,09/20/2018 09:24:35 AM,1,10.89,1,N,42,261,1,40.0,0.0,0.5,0.0,0.0,0.3,40.8
2,09/20/2018 08:09:48 AM,09/20/2018 08:31:39 AM,2,0.9,1,N,186,161,1,13.5,0.0,0.5,0.0,0.0,0.3,14.3
2,09/20/2018 08:33:39 AM,09/20/2018 08:40:53 AM,2,1.13,1,N,230,142,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,09/20/2018 08:50:59 AM,09/20/2018 08:59:18 AM,2,1.76,1,N,239,166,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
2,09/20/2018 08:03:55 AM,09/20/2018 08:23:31 AM,1,2.09,1,N,211,107,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8
2,09/20/2018 08:25:56 AM,09/20/2018 09:01:32 AM,1,3.23,1,N,107,236,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36
2,09/20/2018 08:16:12 AM,09/20/2018 08:28:43 AM,1,0.99,1,N,229,161,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
2,09/20/2018 08:39:14 AM,09/20/2018 08:50:54 AM,1,1.19,1,N,237,140,1,9.0,0.0,0.5,1.47,0.0,0.3,11.27
2,09/20/2018 08:51:48 AM,09/20/2018 09:28:58 AM,1,10.85,1,N,140,92,1,36.5,0.0,0.5,7.46,0.0,0.3,44.76
2,09/20/2018 08:03:51 AM,09/20/2018 08:12:15 AM,2,1.54,1,N,107,229,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
2,09/20/2018 08:24:18 AM,09/20/2018 08:43:40 AM,2,8.84,1,N,263,138,2,26.5,0.0,0.5,0.0,5.76,0.3,33.06
2,09/20/2018 08:05:57 AM,09/20/2018 08:19:04 AM,1,1.79,1,N,163,141,1,10.0,0.0,0.5,2.7,0.0,0.3,13.5
2,09/20/2018 08:59:50 AM,09/20/2018 09:17:06 AM,1,2.01,1,N,236,161,1,12.5,0.0,0.5,2.0,0.0,0.3,15.3
2,09/20/2018 08:36:02 AM,09/20/2018 08:58:54 AM,2,2.19,1,N,170,237,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
2,09/20/2018 08:13:40 AM,09/20/2018 08:43:47 AM,1,3.97,1,N,231,161,1,20.0,0.0,0.5,0.0,0.0,0.3,20.8
2,09/20/2018 08:54:21 AM,09/20/2018 09:16:43 AM,1,1.4,1,N,141,161,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
2,09/20/2018 08:58:12 AM,09/20/2018 09:29:43 AM,1,5.3,1,N,42,140,1,21.5,0.0,0.5,4.46,0.0,0.3,26.76
2,09/20/2018 08:05:54 AM,09/20/2018 08:26:50 AM,2,2.09,1,N,143,236,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
2,09/20/2018 08:31:58 AM,09/20/2018 08:54:54 AM,2,3.31,1,N,236,48,1,16.5,0.0,0.5,3.46,0.0,0.3,20.76
